id,title,description,original_air_date,production_code,directed_by,written_by,season,number_in_season,number_in_series,us_viewers_in_millions,imdb_rating,tmdb_rating,tmdb_vote_count
194,Lisa the Simpson,"Lisa fears she is losing her intelligence when she learns about the fabled Simpson gene. Meanwhile, Jasper freezes himself in the Kwik-E-Mart freezer.    ",1998-03-08,4F24,Susie Dietter,Ned Goldreyer,9,17,195,17.8,8.0,6.8,22
195,This Little Wiggy,"Bart is reluctant to hang out with Ralph Wiggum, until he gains access to Chief Wiggum's master key to the city.    ",1998-03-22,5F13,Neil Affleck,Dan Greaney,9,18,196,15.0,7.8,7.1,20
196,Simpson Tide,Homer causes an international incident after he joins the Naval reserves.    ,1998-03-29,3G04,Mike B. Anderson,Joshua Sternin & Jennifer Ventimilia,9,19,197,14.8,8.1,7.4,22
197,The Trouble with Trillions,"Homer is forced to spy for the IRS after an audit. But when he is asked to retrieve a trillion dollar bill from Mr. Burns, he switches sides and the two flee to Cuba for refuge.    ",1998-04-05,5F14,Swinton O. Scott III,Ian Maxtone-Graham,9,20,198,11.4,7.8,7.4,22
198,Girly Edition,Bart and Lisa become locked in competition when they anchor a children's news program; Homer adopts a helper monkey.    ,1998-04-19,5F15,Mark Kirkland,Larry Doyle,9,21,199,13.5,7.8,6.7,20
199,Trash of the Titans,Homer becomes the sanitation commissioner for Springfield. His ineptitude pollutes the town and leads to a drastic solution.    ,1998-04-26,5F09,Jim Reardon,Ian Maxtone-Graham,9,22,200,17.4,8.4,7.5,21
200,King of the Hill,"After humiliating Bart at a church picnic, Homer resolves to get in shape. Soon, he is contacted by an energy bar company that wants him to climb a mountain as a promotion.    ",1998-05-03,5F16,Steven Dean Moore,John Swartzwelder,9,23,201,14.8,8.2,7.7,20
201,Lost Our Lisa,Lisa gets lost after she tries to take a bus to a museum.    ,1998-05-10,5F17,Pete Michels,Brian Scully,9,24,202,12.9,7.7,7.4,21
202,Natural Born Kissers,Homer and Marge's attempt to spice up their marriage leads to the couple being chased naked through Springfield.    ,1998-05-17,5F18,Klay Hall,Matt Selman,9,25,203,14.1,8.0,7.5,23
203,Lard of the Dance,Homer and Bart try to start their own grease business; Lisa organizes a school dance.    ,1998-08-23,5F20,Dominic Polcino,Jane O'Brien,10,1,204,11.84,7.6,6.7,21
204,The Wizard of Evergreen Terrace,Homer's midlife crisis leads to a disastrous attempt at being an inventor.    ,1998-09-20,5F21,Mark Kirkland,John Swartzwelder,10,2,205,13.90,8.1,7.6,24
205,Bart the Mother,"When Bart accidentally kills a mother bird, he tries to make amends by raising the eggs.    ",1998-09-27,5F22,Steven Dean Moore,David X. Cohen,10,3,206,11.94,7.5,6.6,22
206,Treehouse of Horror IX,Homer receives an evil hair transplant; Bart and Lisa get trapped in an Itchy and Scratchy cartoon; Maggie is revealed to be an alien.    ,1998-10-25,AABF01,Steven Dean Moore,Donick Cary,10,4,207,15.12,8.0,7.0,24
207,When You Dish Upon a Star,Homer becomes a Hollywood insider when he befriends Alec Baldwin and Kim Basinger.    ,1998-11-08,5F19,Pete Michels,Richard Appel,10,5,208,15.34,7.2,6.0,22
208,D'oh-in' in the Wind,Homer becomes a hippie after a revelation about his middle name.    ,1998-11-15,AABF02,Mark Kirkland & Matthew Nastuk,Donick Cary,10,6,209,13.94,7.5,6.7,23
209,Lisa Gets an 'A',"When Lisa cheats on a test, she has a moral crisis when her perfect score qualifies the school for grant money; Homer adopts a lobster as a pet.    ",1998-11-22,AABF03,Bob Anderson,Ian Maxtone-Graham,10,7,210,13.61,8.1,7.1,23
210,Homer Simpson in: 'Kidney Trouble',Homer gets cold feet before a transplant operation which could save Grampa's life.    ,1998-12-06,AABF04,Mike B. Anderson,John Swartzwelder,10,8,211,12.38,7.2,6.5,23
211,Mayored to the Mob,Homer deals with corruption when he becomes Mayor Quimby's bodyguard.    ,1998-12-20,AABF05,Swinton O. Scott III,Ron Hauge,10,9,212,13.90,8.1,7.0,24
212,Viva Ned Flanders,"When Homer takes Ned to Las Vegas in an attempt to get him to loosen up, the two end up drunkenly marrying a pair of cocktail waitresses.    ",1999-01-10,AABF06,Neil Affleck,David M. Stern,10,10,213,19.68,7.8,7.2,24
213,Wild Barts Can't Be Broken,The children of Springfield revolt after a curfew is enforced.    ,1999-01-17,AABF07,Mark Ervin,Larry Doyle,10,11,214,15.21,7.7,6.9,21
214,"Sunday, Cruddy Sunday","Homer and his friends head to the Super Bowl, but are forced to sneak in when they discover their tickets are counterfeit.    ",1999-01-31,AABF08,Steven Dean Moore,"Tom Martin, George Meyer, Brian Scully & Mike Scully",10,12,215,19.11,7.0,6.2,22
215,Homer to the Max,"Homer changes his name to ""Max Power"" after discovering that he shares his name with a dimwitted TV character.    ",1999-02-07,AABF09,Pete Michels,John Swartzwelder,10,13,216,13.98,7.7,6.7,21
216,I'm with Cupid,The husbands of Springfield plot revenge after Apu outshines them on Valentine's Day.    ,1999-02-14,AABF11,Bob Anderson,Dan Greaney,10,14,217,12.35,7.3,6.9,20
217,Marge Simpson in: 'Screaming Yellow Honkers',Marge's new SUV gives her a potent case of road rage.    ,1999-02-21,AABF10,Mark Kirkland,David M. Stern,10,15,218,14.64,7.3,6.7,21
218,Make Room for Lisa,"Lisa feels that her relationship with her father will never be close, and she develops stress-induced stomach pains; Marge inadvertently knocks out Milhouse.    ",1999-02-28,AABF12,Matthew Nastuk,Brian Scully,10,16,219,12.40,7.5,6.9,22
219,Maximum Homerdrive,Homer takes Bart with him on a cross-country delivery on behalf of a trucker who died before completing it; Marge and Lisa experience problems with their new novelty doorbell.    ,1999-03-28,AABF13,Swinton O. Scott III,John Swartzwelder,10,17,220,15.51,7.7,6.9,21
220,Simpsons Bible Stories,Three famous religious stories are retold Simpsons style as the family nods off at church.    ,1999-04-04,AABF14,Nancy Kruse,Tim Long,10,18,221,12.86,7.3,6.8,20
221,Mom and Pop Art,Homer becomes the talk of the Springfield art community when a failed barbecue pit he worked on is mistaken for an art project.    ,1999-04-11,AABF15,Steven Dean Moore,Al Jean,10,19,222,14.13,7.6,7.2,21
222,The Old Man and the 'C' Student,Bart is punished with community service at the Retirement Castle after he ruins Springfield's chances of hosting the Olympics.    ,1999-04-25,AABF16,Mark Kirkland,Julie Thacker,10,20,223,11.16,7.3,6.7,19
223,Monty Can't Buy Me Love,"When a wealthy man moves to Springfield, Mr. Burns begins to feel that he is losing his grasp on the citizens and decides to enlist the help of Homer.    ",1999-05-02,AABF17,Mark Ervin,John Swartzwelder,10,21,224,12.59,7.1,6.7,20
224,They Saved Lisa's Brain,"Lisa is invited to join the Springfield chapter of MENSA and after Mayor Quimby flees, the group ends up running the city. Meanwhile, Homer poses for a series of erotic photos.    ",1999-05-09,AABF18,Pete Michels,Matt Selman,10,22,225,10.45,7.3,6.6,21
225,Thirty Minutes over Tokyo,The Simpsons must perform on a Japanese game show after Homer loses their money on a vacation.    ,1999-05-16,AABF20,Jim Reardon,Donick Cary & Dan Greaney,10,23,226,12.51,8.0,7.5,22
226,Beyond Blunderdome,"Convinced he's the only man with guts to tell him the truth, Mel Gibson insists Homer accompanies him in Hollywood to help fix his newest film project.    ",1999-09-26,AABF23,Steven Dean Moore,Mike Scully,11,1,227,8.1,7.3,6.5,20
227,Brother's Little Helper,"Bart is put on medication to control his behavior, but the pills cause him to become paranoid and insane.    ",1999-10-03,AABF22,Mark Kirkland,George Meyer,11,2,228,7.1,7.5,6.5,17
228,Guess Who's Coming to Criticize Dinner?,"When Homer is hired as a local food critic by a newspaper in Springfield, he finds himself in deep trouble after his reviews turn out to be too critical.    ",1999-10-24,AABF21,Nancy Kruse,Al Jean,11,3,229,6.7,7.5,6.6,18
229,Treehouse of Horror X,The Simpsons attempt to cover up their accidental murder of Ned Flanders. Bart and Lisa acquire super powers. An electronic apocalypse threatens Springfield.    ,1999-10-31,BABF01,Pete Michels,Donick Cary,11,4,230,8.7,7.8,6.8,20
230,E-I-E-I-(Annoyed Grunt),Homer cowards out of a pistol-duel and hides out with the rest of the family on a country farm.    ,1999-11-07,AABF19,Bob Anderson,Ian Maxtone-Graham,11,5,231,8.4,7.8,6.4,18
231,"Hello Gutter, Hello Fadder",Homer becomes a minor celebrity around Springfield after bowling a perfect game.    ,1999-11-14,BABF02,Mike B. Anderson,Al Jean,11,6,232,9.2,7.3,6.0,16
232,Eight Misbehavin',Apu struggles with fatherhood after Manjula gives birth to octuplets.    ,1999-11-21,BABF03,Steven Dean Moore,Matt Selman,11,7,233,9.2,7.0,5.5,17
233,"Take My Wife, Sleaze","Homer's attempt at creating a motorcycle gang attracts a real gang, who kidnap Marge.    ",1999-11-28,BABF05,Neil Affleck,John Swartzwelder,11,8,234,8.9,7.1,6.3,17
234,Grift of the Magi,A toy company purchases Springfield Elementary and uses the student body as a focus group for their new Christmas toy Funzo.    ,1999-12-19,BABF07,Matthew Nastuk,Tom Martin,11,9,235,7.76,7.3,6.4,18
235,Little Big Mom,Lisa finds out how rough Marge has it when her mom is in traction and she becomes the woman of the house. Homer and Bart's antics get her so worked up she conspires to teach them a lesson.    ,2000-01-09,BABF04,Mark Kirkland,Carolyn Omine,11,10,236,10,7.4,6.2,18
236,Faith Off,Bart is led to believe he has special healing powers after a tent revival.    ,2000-01-16,BABF06,Nancy Kruse,Frank Mula,11,11,237,10.4,6.8,6.5,17
237,The Mansion Family,Homer receives responsibility for Mr. Burns' mansion when he is on leave and takes Burns' yacht to international waters to have a party.    ,2000-01-23,BABF08,Mike Frank Polcino,John Swartzwelder,11,12,238,11.3,7.3,6.6,19
238,Saddlesore Galactica,The Simpsons get an abused horse and make him a contender in horse racing. Homer finds out a secret conspiracy about jockeys. Lisa tries to reach President Clinton when the results of a school band talent competition seem tainted.    ,2000-02-06,BABF09,Lance Kramer,Tim Long,11,13,239,9.6,6.5,6.0,19
239,"Alone Again, Natura-Diddily",Ned deals with his grief after Maude's untimely death.    ,2000-02-13,BABF10,Jim Reardon,Ian Maxtone-Graham,11,14,240,10.8,7.7,6.8,18
240,Missionary: Impossible,"When Homer is wanted dead for reneging on a 10,000 dollar pledge to PBS, Reverend Lovejoy sets him up for missionary work in the South Pacific until the heat dies down.    ",2000-02-20,BABF11,Steven Dean Moore,Ron Hauge,11,15,241,9.8,7.3,6.7,19
241,Pygmoelian,"Plastic surgery not only transforms Moe the Bartender from ugly to hunky, it helps gets him a job on a hit daytime drama.    ",2000-02-27,BABF12,Mark Kirkland,Larry Doyle,11,16,242,9.4,7.3,6.4,19
242,Bart to the Future,Bart gets a glimpse of the future while the family is on vacation at an Indian casino.    ,2000-03-19,BABF13,Michael Marcantel,Dan Greaney,11,17,243,8.77,7.1,6.6,17
243,Days of Wine and D'oh'ses,Homer doesn't like it when Barney quits drinking; Bart and Lisa get into trouble when they enter a photo contest for the new phone book cover.    ,2000-04-09,BABF14,Neil Affleck,Dan Castellaneta & Deb Lacusta,11,18,244,8.3,7.4,6.8,19
244,Kill the Alligator and Run,"Fearing he only has three years to live, Homer takes the family on a vacation to Florida, where they become fugitives after seemingly killing a famous alligator.    ",2000-04-30,BABF16,Jen Kamerman,John Swartzwelder,11,19,245,7.46,6.6,6.1,18
245,Last Tap Dance in Springfield,Lisa has difficulties learning to tap dance; Bart and Milhouse ditch summer camp to spend a week living in the mall.    ,2000-05-07,BABF15,Nancy Kruse,Julie Thacker,11,20,246,7.3,7.1,6.0,18
246,"It's a Mad, Mad, Mad, Mad Marge","Everybody loves the new Simpsons' house guest Becky. Except Marge, who thinks Becky wants to kill her.    ",2000-05-14,BABF18,Steven Dean Moore,Larry Doyle,11,21,247,7.5,7.1,7.1,19
247,Behind the Laughter,"Fans are invited to take a behind-the-scenes look at ""The Simpsons,"" revisiting some of the most memorable experiences the family has been through.    ",2000-05-21,BABF19,Mark Kirkland,"Tim Long, George Meyer, Mike Scully & Matt Selman",11,22,248,8.3,7.9,7.2,19
248,Treehouse of Horror XI,Homer must do one good deed to get into Heaven; Bart and Lisa encounter a witch in a gingerbread house; Super-intelligent dolphins strike back at humanity.    ,2000-11-01,BABF21,Matthew Nastuk,Rob LaZebnik,12,1,249,13.23,7.6,6.4,18
249,A Tale of Two Springfields,Springfield is split in two when Homer revolts because his area code is changed; the new town walls itself off from the neighbors.    ,2000-11-05,BABF20,Shaun Cashman,John Swartzwelder,12,2,250,16.18,7.4,6.7,17
250,Insane Clown Poppy,"After he learns he has a daughter, Krusty turns to Homer for parenting advice.    ",2000-11-12,BABF17,Bob Anderson,John Frink & Don Payne,12,3,251,16.44,7.0,6.2,18
251,Lisa the Tree Hugger,Lisa's crush on an environmental activist inspires her to live in a tree threatened by loggers.    ,2000-11-19,CABF01,Steven Dean Moore,Matt Selman,12,4,252,14.87,7.1,6.2,17
252,Homer vs. Dignity,"Desperate for money, Homer accepts payment from Mr. Burns in exchange for humiliating himself.    ",2000-11-26,CABF04,Neil Affleck,Rob LaZebnik,12,5,253,14.99,7.0,6.5,20
253,The Computer Wore Menace Shoes,"Homer's gossip website becomes a huge hit, but when his information runs out he resorts to making up news.    ",2000-12-03,CABF02,Mark Kirkland,John Swartzwelder,12,6,254,15.60,7.7,7.4,18
254,The Great Money Caper,The whole town of Springfield conspires to teach Homer and Bart a lesson after the pair begin running confidence scams.    ,2000-12-10,CABF03,Mike Frank Polcino,Carolyn Omine,12,7,255,16.84,7.2,6.9,19
255,Skinner's Sense of Snow,"A freak blizzard traps the students of Springfield Elementary inside their school. Their lives at stake, they are at the mercy of the rescue efforts of a woozy Homer and Ned.    ",2000-12-17,CABF06,Lance Kramer,Tim Long,12,8,256,15.87,7.9,7.1,20
256,HOMR,"An X-ray reveals a crayon lodged in Homer's brain. After the crayon is removed, Homer experiences a sudden surge in intelligence, making him closer to Lisa and isolated from his friends.    ",2001-01-07,BABF22,Mike B. Anderson,Al Jean,12,9,257,18.52,8.1,7.8,20
257,Pokey Mom,"Marge befriends a convict with an artistic streak. Meanwhile, Homer battles the chiropractic industry after he creates a miracle back pain cure.    ",2001-01-14,CABF05,Bob Anderson,Tom Martin,12,10,258,15.01,7.1,6.8,19
258,Worst Episode Ever,Bart and Milhouse are left in charge of the comic book store after Comic Book Guy is hospitalized.    ,2001-02-04,CABF08,Matthew Nastuk,Larry Doyle,12,11,259,18.50,7.4,6.8,17
259,Tennis the Menace,"Homer installs a tennis court in the backyard, but his lousy playing creates a rift in the family.    ",2001-02-11,CABF07,Jen Kamerman,Ian Maxtone-Graham,12,12,260,13.98,6.8,5.9,19
260,Day of the Jackanapes,When a new television game show grows in popularity and begins to draw away Krusty's TV audience e decided to retire from the television business.    ,2001-02-18,CABF10,Michael Marcantel,Al Jean,12,13,261,15.39,7.1,6.2,19
261,New Kids on the Blecch,"A music producer offers Bart and his friends a chance to participate in an up-and-coming boyband, but the boys are not up to it after making a discovery.    ",2001-02-25,CABF12,Steven Dean Moore,Tim Long,12,14,262,18.12,7.2,6.4,18
262,"Hungry, Hungry Homer",Homer is forced to go on a hunger strike by the Springfield Isotopes after uncovering a secret plan to have the baseball team moved to New Mexico.    ,2001-03-04,CABF09,Nancy Kruse,John Swartzwelder,12,15,263,17.55,7.5,6.5,20
263,Bye Bye Nerdie,"Problems with a bully lead Lisa to examine just what makes bullies aggressive. Meanwhile, Homer gets into the baby-proofing business.    ",2001-03-11,CABF11,Lauren MacMullan,John Frink & Don Payne,12,16,264,16.11,6.7,6.1,18
264,Simpson Safari,The Simpsons win a trip to Africa after Homer finds a golden animal cracker from the 60's in the loft.    ,2001-04-01,CABF13,Mark Kirkland,John Swartzwelder,12,17,265,13.28,6.8,5.7,17
265,Trilogy of Error,"Homer's rush to the hospital to re-attach his severed thumb, Lisa's rush to school to win the science fair, and Bart's run-in with an illegal fireworks scheme interconnect from their point of view.    ",2001-04-29,CABF14,Mike B. Anderson,Matt Selman,12,18,266,14.41,8.6,7.8,21
266,I'm Goin' to Praiseland,"With Homer's help, Flanders tries to establish a Christian theme park based on drawings in Maude's sketch book.    ",2001-05-06,CABF15,Chuck Sheetz,Julie Thacker,12,19,267,13.06,7.2,6.9,17
267,Children of a Lesser Clod,"After a debilitating injury forces him to stay indoors, Homer begins a daycare center.    ",2001-05-13,CABF16,Mike Frank Polcino,Al Jean,12,20,268,13.81,7.2,6.4,16
268,Simpsons Tall Tales,"A hobo tells the Simpsons tall tales on a train ride to Delaware. In the first story, Homer is outcast from society as Paul Bunyan. Then, Lisa travels the country planting trees as Connie Appleseed. Finally, Bart and Nelson raft down the Mississippi as Tom Sawyer and Huck Finn.    ",2001-05-20,CABF17,Bob Anderson,John Frink & Don Payne,12,21,269,13.43,6.9,5.6,17
269,Treehouse of Horror XII,A gypsy puts a curse on Homer; The Simpsons' new automated house malfunctions and tries to kill Homer; Bart and Lisa attend a school for wizards.    ,2001-11-06,CABF19,Jim Reardon,Joel H. Cohen,13,1,270,13.04,7.6,6.1,18
270,The Parent Rap,"After Bart takes a joyride in a police car, a judge orders him to be tethered to Homer at all times.    ",2001-11-11,CABF22,Mark Kirkland,George Meyer & Mike Scully,13,2,271,14.91,7.1,6.1,15
271,Homer the Moe,Homer and his friends are forced to drink in the Simpsons' garage after Moe the Bartender renovates his shady bar into a hipster hangout.    ,2001-11-18,CABF20,Jen Kamerman,Dana Gould,13,3,272,14.44,7.1,6.2,15
272,A Hunka Hunka Burns in Love,Mr. Burns falls in love with a younger woman and recruits Homer to help him impress her.    ,2001-12-02,CABF18,Lance Kramer,John Swartzwelder,13,4,273,13.38,7.1,6.1,16
273,The Blunder Years,A hypnotist uncovers a traumatic experience from Homer's childhood.    ,2001-12-09,CABF21,Steven Dean Moore,Ian Maxtone-Graham,13,5,274,12.93,7.6,6.4,15
274,She of Little Faith,"Homer and Bart get careless with a model rocket and accidentally do damage to Springfield's church, but when Mr. Burns offers to commercialize it to repair the destruction, Lisa leaves Christianity behind to become a Buddhist.    ",2001-12-16,DABF02,Steven Dean Moore,Bill Freiberger,13,6,275,13.18,7.1,6.2,16
275,Brawl in the Family,"A social services officer brings unity to the Simpson family, but their newfound happiness is threatened when the cocktail waitress Homer married in Vegas shows up at their door.    ",2002-01-06,DABF01,Matthew Nastuk,Joel H. Cohen,13,7,276,11.83,6.8,5.8,16
276,Sweets and Sour Marge,Marge rallies for a ban on sugar after Springfield is declared America's fattest city.    ,2002-01-20,DABF03,Mark Kirkland,Carolyn Omine,13,8,277,12.27,6.9,5.8,15
277,Jaws Wired Shut,Marge can't deal with the quiet after Homer has his jaws wired shut.    ,2002-01-27,DABF05,Nancy Kruse,Matt Selman,13,9,278,14.24,7.3,6.8,18
278,Half-Decent Proposal,Marge's high school sweetheart Artie Ziff returns and offers Homer a million dollars to spend a weekend with Marge.    ,2002-02-10,DABF04,Lauren MacMullan,Tim Long,13,10,279,13.23,7.3,6.7,20
279,The Bart Wants What It Wants,"Bart breaks up with his new girlfriend Greta, but gets jealous when she begins dating Milhouse.    ",2002-02-17,DABF06,Mike Frank Polcino,John Frink & Don Payne,13,11,280,11.17,7.0,6.3,15
280,The Lastest Gun in the West,Bart meets a retired cowboy movie star and convinces him to make a comeback on The Krusty the Clown Show.    ,2002-02-24,DABF07,Bob Anderson,John Swartzwelder,13,12,281,13.17,6.5,5.3,15
281,The Old Man and the Key,Abe gets his driver's license back to impress a new woman at the retirement home.    ,2002-03-10,DABF09,Lance Kramer,Jon Vitti,13,13,282,14.46,6.5,5.3,15
282,Tales from the Public Domain,"Homer reads three stories from an overdue library book, imagining himself as Odysseus, Lisa as Joan of Arc and Bart as Hamlet.    ",2002-03-17,DABF08,Mike B. Anderson,Andrew Kreisberg,13,14,283,11.69,7.2,6.5,15
283,Blame It on Lisa,"Lisa sponsors an orphan in Brazil, and when he goes missing she convinces the family to go to Brazil to find him. While there, Homer is kidnapped.    ",2002-03-31,DABF10,Steven Dean Moore,Bob Bendetson,13,15,284,11.12,7.0,5.3,18
284,Weekend at Burnsie's,"After a traumatizing eye injury, Homer becomes a habitual user of medical marijuana.    ",2002-04-07,DABF11,Michael Marcantel,Jon Vitti,13,16,285,12.49,7.7,6.8,15
285,Gump Roast,"In this clip show, the citizens of Springfield honor Homer Simpsons with a Roast, but the festivities take a turn for the worst when aliens crash it.    ",2002-04-21,DABF12,Mark Kirkland,Deb Lacusta & Dan Castellaneta,13,17,286,12.26,5.4,5.1,14
286,I Am Furious (Yellow),"Bart's comic about Homer becomes a hit on-line, prompting Homer to attempt to control his anger.    ",2002-04-28,DABF13,Chuck Sheetz,John Swartzwelder,13,18,287,13.38,7.7,7.1,16
287,The Sweetest Apu,Apu's marriage is on the rocks after Manjula finds out he cheated on her.    ,2002-05-05,DABF14,Matthew Nastuk,John Swartzwelder,13,19,288,11.83,6.8,5.7,15
288,Little Girl in the Big Ten,Lisa pretends to be a college student when she befriends two college girls; Bart is forced to live in a plastic bubble after being bit by a mosquito.    ,2002-05-12,DABF15,Lauren MacMullan,Jon Vitti,13,20,289,11.23,7.1,6.2,16
289,The Frying Game,Homer and Marge find themselves on death row after they are framed for murder.    ,2002-05-19,DABF16,Mike Frank Polcino,John Swartzwelder,13,21,290,10.79,7.0,5.7,15
290,Poppa's Got a Brand New Badge,Homer becomes chief of police after a scandal forces Wiggum out.    ,2002-05-22,DABF17,Pete Michels,Dana Gould,13,22,291,8.18,7.8,6.6,16
291,Treehouse of Horror XIII,Homer clones himself with a magic hammock; Zombie cowboys come back from the dead after Springfield bans guns; The Simpsons family take a vacation on an island where Dr. Hibbert can turn people into animals.    ,2002-11-03,DABF19,David Silverman,Marc Wilmore,14,1,292,16.7,7.6,7.1,21
292,How I Spent My Strummer Vacation,"When Homer is secretly videotaped complaining about his family in a taxi, they send him off to a rock and roll fantasy camp so he can try to live his dream.    ",2002-11-10,DABF22,Mike B. Anderson,Mike Scully,14,2,293,12.5,7.4,6.4,18
293,Bart vs. Lisa vs. the Third Grade,"Bart and Lisa are respectively held back and moved forward one grade, putting them in the same class.    ",2002-11-17,DABF20,Steven Dean Moore,Tim Long,14,3,294,13.3,7.1,6.2,18
294,Large Marge,Marge accidentally gets breast implants.    ,2002-11-24,DABF18,Jim Reardon,Ian Maxtone-Graham,14,4,295,17.4,7.1,6.7,19
295,Helter Shelter,The Simpsons family must participate in a reality television show in which they try to live in the same way that the families did in the 1800s.    ,2002-12-01,DABF21,Mark Kirkland,Brian Pollack & Mert Rich,14,5,296,15.1,6.7,6.0,18
296,The Great Louse Detective,Homer has to use Sideshow Bob in order to track down a potential assassin.    ,2002-12-15,EABF01,Steven Dean Moore,John Frink & Don Payne,14,6,297,15.5,7.3,6.7,20
297,Special Edna,"After Skinner once again has let Mrs. Krabappel down, Bart nominates her for Teacher of the Year. When the nomination is accepted, Skinner tries to get back Krabappel by asking her to marry him.    ",2003-01-05,EABF02,Bob Anderson,Dennis Snee,14,7,298,15.0,7.0,6.4,19
298,The Dad Who Knew Too Little,Homer hires a private detective to learn more about Lisa.    ,2003-01-12,EABF03,Mark Kirkland,Matt Selman,14,8,299,12.8,7.3,6.2,19
299,The Strong Arms of the Ma,Marge takes up body-building to boost her self-esteem after being mugged at the Kwik-E-Mart.    ,2003-02-02,EABF04,Pete Michels,Carolyn Omine,14,9,300,15.4,6.8,6.1,17
300,Pray Anything,"Homer turns to religion to help him get what he wants, and is soon awarded the church in an injury settlement. Homer then turns the church into his personal party pad, and Reverend Lovejoy leaves Springfield to wallow in its hedonism.    ",2003-02-09,EABF06,Mike Frank Polcino,Sam O'Neal & Neal Boushell,14,10,301,13.4,6.7,6.2,18
301,Barting Over,"After finding out Homer squandered his money from a baby commercial, Bart moves out into a loft, and meets skateboarding legend Tony Hawk.    ",2003-02-16,EABF05,Matthew Nastuk,Andrew Kreisberg,14,11,302,21.3,6.7,5.9,18
302,I'm Spelling as Fast as I Can,"Lisa participates in the Spellympics, but Homer is busy traveling cross-country as Krusty Burger test-markets a new sandwich. Lisa is confident that she will win, until she learns that the contest is rigged against her.    ",2003-02-16,EABF07,Nancy Kruse,Kevin Curran,14,12,303,22.1,7.2,6.3,22
303,A Star Is Born Again,"Ned Flanders starts dating a famous movie star, but has difficulties with the tabloids following them everywhere.    ",2003-03-02,EABF08,Michael Marcantel,Brian Kelley,14,13,304,14.4,6.9,6.2,17
304,Mr. Spritz Goes to Washington,The family makes Krusty run for Congress because of air traffic being redirected to fly dangerously close to their house.    ,2003-03-09,EABF09,Lance Kramer,John Swartzwelder,14,14,305,14.4,6.8,5.6,16
305,C.E.D'oh,Homer takes over the power plant after tricking Mr. Burns into making him the official owner of the power plant.    ,2003-03-16,EABF10,Mike B. Anderson,Dana Gould,14,15,306,13.0,7.1,5.8,14
306,'Scuse Me While I Miss the Sky,Lisa becomes interested in astronomy and starts fighting the light pollution which is preventing her from being able to enjoy her new hobby.    ,2003-03-30,EABF11,Steven Dean Moore,Dan Greaney & Allen Glazier,14,16,307,12.6,7.1,5.8,14
307,Three Gays of the Condo,"When Homer finds an old note revealing Marge only married him because she was pregnant with Bart, he moves into a condo with two gay guys.    ",2003-04-13,EABF12,Mark Kirkland,Matt Warburton,14,17,308,12.02,7.2,6.2,16
308,"Dude, Where's My Ranch?","Homer writes a Christmas carol called ""Everybody Hates Ned Flanders,"" which soon becomes so popular that the family decides to leave town for a while.    ",2003-04-27,EABF13,Chris Clements,Ian Maxtone-Graham,14,18,309,11.71,6.9,6.3,18
309,Old Yeller-Belly,"Homer throws out Santa's Little Helper for not saving him from a fire, but soon the dog becomes Duff's new mascot.    ",2003-05-04,EABF14,Bob Anderson,John Frink & Don Payne,14,19,310,11.59,6.6,6.2,17
310,"Brake My Wife, Please","Because of Homer losing his driver's license, Marge has to drive everyone everywhere, which is so stressful for her that she accidentally runs over Homer leading to the two seeing a marriage counselor.    ",2003-05-11,EABF15,Pete Michels,Tim Long,14,20,311,10.56,6.7,6.6,18
311,The Bart of War,"Bart and Milhouse are forced into community service after destroying Flanders' memorial and join separate community groups, pitting themselves against each other.    ",2003-05-18,EABF16,Mike Frank Polcino,Marc Wilmore,14,21,312,12.10,6.6,6.4,18
312,Moe Baby Blues,"After saving Maggie's life, Moe develops a special bond with her, much to Homer's dismay.    ",2003-05-18,EABF17,Lauren MacMullan,J. Stewart Burns,14,22,313,13.44,7.6,6.6,17
313,Treehouse of Horror XIV,"First, Homer kills the Grim Reaper and takes his place in Reaper Madness. Then, Professor Frink's father is revived, only to kill people and steal their organs in Frinkenstein. Finally, Bart and Milhouse get a stop watch that can stop time in Stop the World, I Want To Goof Off.    ",2003-11-02,EABF21,Steven Dean Moore,John Swartzwelder,15,1,314,16.22,7.5,6.8,22
314,My Mother the Carjacker,"Homer's mother returns to Springfield, and the city pardons her from the charges against her. Mr Burns is furious about this and makes a plan to get Mona Simpson in prison.    ",2003-11-09,EABF18,Nancy Kruse,Michael Price,15,2,315,12.4,7.2,6.7,19
315,The President Wore Pearls,Lisa feuds with Principal Skinner after being elected school president.    ,2003-11-16,EABF20,Mike B. Anderson,Dana Gould,15,3,316,12.7,6.9,5.8,17
316,The Regina Monologues,Prime minister Tony Blair welcomes the Simpsons to England where they run into author J.K. Rowling and actor Ian McKellen.    ,2003-11-23,EABF22,Mark Kirkland,John Swartzwelder,15,4,317,12.2,7.0,6.3,18
317,The Fat and the Furriest,"At the dump Homer is videotaped while being attacked by a bear. The town regards him a coward, so Homer decides to strike back at the bear.    ",2003-11-30,EABF19,Matthew Nastuk,Joel H. Cohen,15,5,318,11.7,7.1,6.4,19
318,Today I Am a Clown,Krusty decides to do what he never did when he was thirteen years old - have a Bar Mitzvah.    ,2003-12-07,FABF01,Nancy Kruse,Joel H. Cohen,15,6,319,10.5,6.4,6.0,20
